SPCD,tree_count,mean_carbon,median_carbon,min_carbon,max_carbon
131,594859,197.17044354665055,90.549235,0.207023,8027.006938
202,378877,2008.8622694166497,422.57506,0.162217,97377.542504
316,217297,140.19435907752063,67.527053,0.049317,12947.535307
611,212315,151.3419792055625,46.686121,0.241911,10382.810363
12,200280,45.48214138406231,28.797305,0.059829,1075.510338
111,187008,209.73097039243777,107.958337,0.418884,5905.760131
122,132460,1083.9179540562056,261.83412050000004,0.262305,36435.500904
263,110919,1028.3464916848602,190.644999,0.240983,57907.166471
827,106628,268.77469710517875,85.075916,0.406006,13372.629612
694,102550,198.7857698187421,76.022295,0.532472,9000.102349
108,98430,255.67405721922177,89.162542,0.288775,13185.535064
97,93093,130.27724588228975,75.461314,0.099732,2664.432416
15,70657,1305.7288630029295,212.796853,0.117182,39456.898116
621,65856,382.7923661522868,149.65916950000002,0.230063,12371.110262
241,63166,99.44929727424564,67.792948,0.096844,1479.019541
110,63149,211.85595363470523,107.645042,0.200452,5476.124888
11,55503,702.4255992796966,120.172301,0.364302,36016.267193
802,54238,526.2921721550205,218.547337,0.422367,21550.616331
17,50839,742.4968237424024,154.460184,0.355435,36817.148632
820,49307,416.6653970581459,103.094049,0.697385,16642.747092
375,47266,118.6077352547074,80.598846,0.19013,4553.32901
531,46107,158.1412725878283,64.855027,0.006032,9153.030912
491,43322,20.15180786454919,5.873167,0.360418,453.560838
121,43229,320.3572888872979,195.421985,0.236739,3710.903418
129,41330,309.8299848146625,123.549579,0.098191,7321.56741
631,39704,365.040642229322,99.79086,0.38858,19825.864306
812,39546,374.0991352786375,145.564611,0.590162,22922.879306
371,38667,185.81830123084285,95.732669,0.123232,5827.718957
693,38650,131.9242112117723,48.201851,0.379151,4108.304175
261,38307,190.4264190294202,102.72617,0.12673,4676.605692
318,36065,267.2161918937474,140.315544,0.130476,7742.190219
400,35583,264.1456048737037,46.908128,0.032432,15344.110946
242,34553,1171.6013275443522,132.994147,0.187784,51265.319721
132,34075,163.95411119914894,96.499245,0.513613,2644.583683
351,33972,352.6183663671259,200.437041,0.672227,9373.161067
653,33336,140.08681398074154,61.39594,0.017175,4648.91672
832,30839,515.5567539788254,267.823742,0.46538,8997.111735
264,30067,851.7188794955599,185.587182,0.268694,21103.793967
805,30039,310.0538405066414,92.228235,0.426406,26592.058878
711,28737,81.77860925448029,59.7553,0.547281,1848.189154
762,28398,82.10663220765547,28.837598,0.151937,4144.645435
81,27574,941.7506171503228,136.211432,0.241407,24592.860074
835,25003,254.23240041758987,115.449806,0.156876,8326.549182
222,24551,213.39679647431876,107.27518,0.515807,20294.907607
19,24328,211.31347397184317,77.39122950000001,0.356174,8608.661726
833,23031,488.46696759563196,246.60001,0.626729,11797.619216
746,20983,155.11518404999285,83.616662,0.206315,3492.50087
95,20674,76.65687310404373,58.086704,0.221046,934.534056
64,20573,310.85086632887766,100.505229,0.363371,21454.950268
211,18349,2221.422287615783,882.610263,0.35991,180422.108817
818,17106,586.8001107616041,149.854916,0.314642,25050.194259
361,16781,517.6279187770693,159.287927,0.444308,26958.819553
403,16479,375.74962926979794,165.987795,0.597343,13004.988227
312,16125,583.0831086507287,160.758039,0.424816,38874.938936
73,15852,799.2544402727732,303.032282,0.361646,11723.261045
541,15326,188.0540262432468,113.465479,0.233404,3718.618847
94,14776,177.85919182512183,83.66139,0.156104,3682.654861
971,14366,113.94684585639705,56.723739,0.513688,3889.961111
116,14346,1551.7728812660673,386.5564395,0.265373,38823.82787
806,14344,585.2197791137061,355.751056,0.620754,9384.132469
837,14030,410.7389517513186,196.786254,0.78001,12681.761984
391,13917,57.82694897262341,10.637748,0.651049,1840.392133
409,13798,304.60387519162197,133.288924,0.461644,13326.578941
20,13718,2448.0004154207613,1015.240729,0.380559,33921.419907
93,13342,713.8798680084694,227.6573255,0.36031,9027.310649
999,13323,37.657754467762516,4.706028,0.341712,2512.633133
544,12427,223.43861582224187,95.36035,0.725358,5126.772742
315,11606,11.06762552808892,2.85019,0.209342,358.005848
68,11587,108.85127653784413,58.555119,0.521495,2603.523836
691,11372,539.7220910439677,257.250566,0.586384,66875.541209
815,11333,301.64255999082326,89.105515,0.39152,28265.2223
521,10831,53.87953793352414,4.609101,0.452155,2787.148438
701,10772,51.89886765076124,13.168786,0.291171,3281.268532
807,10649,263.15979351197296,95.711516,0.615218,12691.225955
117,9553,3034.3923225871454,1756.915024,0.238097,62075.725123
591,9371,46.55289566449685,7.320997,0.505914,1350.149138
743,8682,199.79372329474776,106.4234,0.506728,4073.320439
970,8674,172.7073811917224,14.956594,0.582064,5786.937841
831,8519,582.6608107721564,174.851344,0.565194,15454.434312
21,8442,1793.2693414485905,400.192423,0.337249,48248.298192
838,8231,900.1931893308225,184.652628,0.848333,30081.035033
22,8215,1518.6357249164942,247.902143,0.366837,51256.46588
540,8170,267.62860454271726,44.076618,0.577591,6704.392542
839,7888,159.9226994698276,60.069385,0.361698,11080.924089
981,7225,277.8271966413841,77.505918,0.343127,18453.346171
379,6705,34.250807126771065,15.476658,0.092822,905.308604
721,6656,37.57302892202524,3.236931,0.448026,8243.8795
221,6621,608.7364432809243,277.592553,0.596719,14496.421714
119,6031,1429.376622613331,160.402209,0.196916,28567.20486
555,5693,158.2325269230634,70.601961,0.494233,6565.525278
431,5627,139.35622979527278,59.999928,0.325142,6232.844357
801,5292,641.9683330856009,239.8170575,0.340242,14211.720907
972,5210,206.38528432015354,80.9645945,0.268161,5233.275074
133,5093,173.83851116768113,61.894167,0.461507,4028.815374
543,5008,65.24162576876996,48.1335365,0.213244,1117.667393
311,4971,101.67347777268155,27.348867,0.474112,4286.51147
461,4943,240.52184069997978,100.872073,0.219431,3133.314416
98,4919,2531.3363454258997,625.842955,0.392103,48679.027545
128,4761,322.3845099691241,213.761369,0.490131,3003.897912
931,4707,27.800591286806885,3.195713,0.41238,1868.112572
101,4582,179.79711008271497,53.573557,0.234225,8241.142928
840,4578,63.25830498514636,8.284438,0.630793,1455.618185
819,4538,65.42823020008815,12.770402,0.69591,2899.50614
71,4537,159.1995024469914,100.412016,0.099063,1705.375046
824,4396,143.55169914376708,80.48936549999999,0.630793,2534.564797
652,4058,202.41811384154755,61.181628,0.437602,8137.527166
475,3931,35.936301927244976,18.410975,0.128792,1413.768503
692,3653,158.94073908924173,55.683173,0.517305,6337.927401
800,3586,59.74049942805354,9.61518,0.797871,3760.756499
813,3433,887.2003988333819,369.040354,0.846458,16218.876788
115,3426,449.10815091768825,191.02968099999998,0.274637,6017.698181
42,3221,723.4341678497361,96.090984,0.361857,40268.27094
313,3174,147.3280710242596,66.9126055,0.370144,4531.096772
922,3022,83.1166291776969,54.485585,0.177824,1464.422409
319,3008,3.8851659647606382,2.005329,0.232652,154.067472
761,2911,23.008798810717966,6.214469,0.254336,467.664819
731,2908,527.5927932255846,224.436039,0.613992,6127.824702
822,2855,873.3457713085813,353.192926,0.517232,10421.896179
741,2680,109.04409573097014,61.405851,0.294467,1790.115552
407,2610,464.46271082528733,270.0308645,0.665942,4685.717118
125,2603,215.3193908386477,125.475865,0.232911,3242.038957
825,2598,602.2584220319476,203.9888875,0.811395,8211.368409
471,2566,18.16910968082619,3.174471,0.574715,1460.354326
373,2331,327.7547891278422,166.150451,0.640881,4554.44042
993,2328,103.55099916967355,69.517748,0.582328,1777.794023
920,2249,91.58289567718987,18.092734,0.101706,2429.485404
231,2186,103.94566894647758,58.111752,0.265322,2991.38263
682,1999,97.00705577638819,55.973729,0.706195,1815.713833
127,1947,1060.344094,475.562169,0.258557,9488.268302
747,1920,1717.7015076755208,616.5681405,0.33773,17639.87052
768,1871,70.91446411972208,51.703323,0.363088,991.010967
41,1857,1262.9610249052234,172.956459,0.362614,12090.987689
975,1782,162.12197217115602,73.2618545,0.577757,2575.450293
826,1646,321.7434330109356,192.02291,0.615218,3962.31684
492,1646,32.30958728493317,5.914784,0.548938,4676.787239
951,1513,222.53526292200925,104.950934,0.501687,2970.525386
372,1457,290.5683447700755,173.006564,0.5253,4076.528065
994,1447,109.36558642778161,72.477561,0.494233,967.073125
370,1424,395.8109958265449,211.2922815,0.912869,3732.160079
500,1402,9.543680575606277,1.979924,0.448026,437.435411
901,1327,214.73330531122832,95.532533,0.721972,3000.057124
333,1312,45.943452649390245,32.849078000000006,0.31761,994.773102
62,1198,114.48374833889817,41.9269015,0.258695,1605.836692
654,1188,64.64042558249157,47.973129,0.471403,623.211973
462,1187,331.09039848694187,157.862021,0.613992,5426.752519
103,1175,245.70918502468086,95.660367,0.271976,6048.884919
542,1146,457.52193443019195,116.5645895,0.476224,7909.933523
107,1128,68.19645780585107,55.769837499999994,0.383594,548.37578
460,1121,300.6013997734166,90.249323,0.613992,4041.643361
602,1100,331.2213141518182,159.64353899999998,0.675757,10175.263376
356,1071,46.74889384313725,4.973809,0.451707,830.030533
126,1039,434.949907892204,313.302531,0.899061,2889.079468
401,1016,451.54066467913384,181.6297785,0.699611,4422.830211
321,1000,40.255866622,20.208441,1.398946,1635.240438
834,979,704.8011081654751,282.234881,0.615218,11265.73875
404,885,590.8357007887006,133.285836,0.562475,11962.812394
821,869,1439.1060580402761,475.874401,0.914862,13566.623
91,862,102.70129175754062,81.2032265,0.861406,769.614365
352,861,437.120750659698,152.442186,0.928447,5390.41134
935,828,33.08994701570048,5.029153,0.24287,504.95039
72,790,308.18343187468355,90.73852,0.430693,4498.783052
660,787,71.17728370266836,47.356725,0.223551,1079.746325
104,775,2568.027361776774,1973.787834,6.634042,16678.299981
763,736,15.719181625000001,1.919882,0.448591,1013.947374
760,682,28.128682777126098,2.342466,0.489161,1103.810469
680,670,97.850041,24.798363,0.721972,1760.571386
65,660,445.49432655909095,299.3490065,1.990061,3694.279913
842,657,41.40139598021309,7.374059,0.630793,679.303853
651,605,147.65764370082647,63.160693,0.601323,2428.726599
641,592,222.99588116047298,123.848867,0.651049,1991.242127
402,587,393.54280082623507,168.937811,0.873526,8203.349118
345,537,70.95866830726256,54.971696,0.665843,552.775006
410,485,214.21689593814432,118.898201,0.579993,2968.927368
581,478,68.71232064435146,12.5130455,0.438039,1404.376283
260,441,278.3875699569161,34.862683,0.385226,6378.097613
912,434,351.8679896036866,331.6330295,27.012891,1907.481243
412,389,428.14726172493573,225.236204,0.836665,3074.948493
8449,380,173.65708395,68.31714600000001,0.688142,4352.861722
952,368,198.0400216929348,84.378182,0.508678,1624.086502
661,360,73.81565925277778,6.8248145000000005,0.522249,1696.520537
552,339,230.58421217699114,99.926582,0.684174,2558.857454
317,322,251.07082167391306,116.5813125,0.277725,3774.517033
766,320,9.0736874625,2.074482,0.528551,180.650121
742,300,338.86260799666667,118.456749,0.713542,3402.126688
120,293,1104.310381668942,475.271882,0.345575,8884.162888
113,286,1128.7404605944055,688.0723445,0.284968,12562.840316
950,282,316.84508833333336,84.946969,0.520423,7179.890067
828,281,421.1313815836299,92.001811,0.764707,7836.162519
332,263,168.3439586311787,55.249488,0.287916,1697.168746
70,261,105.02669616475096,91.492711,1.026255,319.80063
142,260,1437.9980753769232,1343.8806455,11.964049,7162.384967
662,248,8.779867794354839,2.6280725,0.678801,122.065618
740,234,518.8872737649573,278.1003565,0.641085,3560.616769
808,226,531.8859800088495,119.336095,0.737538,5807.525181
712,214,241.95539524766355,106.1657325,0.808444,4876.728921
341,212,107.89889128773585,71.711951,0.478753,731.15275
953,208,174.25908164423075,83.1804545,0.628467,1605.541598
251,202,221.9051921188119,40.5673975,0.362988,3713.08713
841,200,21.762355095000004,4.628443,0.676673,344.035666
580,193,114.65918229533679,10.924665,0.57399,1260.175893
109,193,1291.4785015336788,581.574149,0.986186,8876.746535
43,187,120.18974887700534,69.718446,0.539451,1392.836666
357,179,25.83927732960894,8.333097,0.89446,421.011034
330,173,43.11174068786127,17.501448,0.491052,429.640883
655,162,195.31722262962964,86.595811,0.744522,2159.039723
105,151,72.88348417218543,55.558249,0.102197,346.885518
548,148,208.68975475675677,85.7233225,0.915459,1562.527794
55,145,63.74458433793103,25.264124,0.418187,1584.506446
722,143,107.83841722377623,60.287367,0.814598,582.224446
374,143,84.62590483216783,67.995188,0.618175,454.25163
405,142,480.7853972957746,260.36753699999997,2.403621,3053.19436
323,120,64.79978818333333,8.0995815,0.566909,898.973077
748,120,2172.467559758333,1795.8611735,2.516223,7109.822421
123,117,304.32154403418804,221.078366,1.030974,1475.66311
201,117,1893.3889542820511,1499.967121,10.569794,7885.687656
756,114,237.92142608771928,96.21678,7.62656,1653.632969
8421,105,52.94870856190476,49.142985,0.799714,253.6696
310,103,10.293802805825242,2.983925,1.029444,185.191704
976,99,129.4579836868687,108.294915,0.812986,593.251814
451,98,99.11851352040817,61.2350675,0.538074,572.321848
137,96,1022.3427233958333,169.43290050000002,3.466583,5713.842208
124,95,1708.2137303789475,1050.510014,9.485758,12573.543874
421,92,24.873857945652173,1.180176,0.404961,711.805361
730,90,1665.6417735888888,655.4913329999999,0.938133,12303.355717
681,89,99.04450510112359,6.514512,0.721972,1953.368418
811,88,1070.6595478522727,581.520334,0.862184,4858.341107
601,82,118.87930485365854,59.158465,0.374873,525.47778
92,80,1097.25691415,202.78128,0.882626,4321.516116
502,73,15.253911356164384,2.52787,0.582328,217.980994
7845,71,4.511769436619718,2.448982,0.582328,23.260842
212,69,6470.495402478261,427.980406,1.166271,28164.128788
510,66,1424.1294631818182,548.7344055,1.73979,14280.000185
67,62,77.69279795161292,45.185693,1.080004,448.448034
603,57,543.9717328070176,198.055207,4.21438,2776.659456
381,55,22.556683072727274,2.342466,0.651049,230.893044
367,53,4.6037790754716985,1.902061,0.665843,46.19064
771,50,99.42498572000001,75.2265235,1.215556,331.778311
658,50,45.29723542,41.6495355,0.647378,194.439071
804,47,541.7722134468086,312.914828,1.05661,3029.013886
422,46,8.75484704347826,1.357634,0.608564,70.416186
844,45,258.3082277333333,158.984118,0.737538,1012.819786
8860,45,3.177604711111111,1.179751,0.417583,41.93792
413,41,183.89164890243902,89.375236,1.024772,929.86241
320,41,153.12716212195122,20.394864,0.57209,1263.253404
858,40,145.177378875,90.6485525,0.582328,1384.44072
52,31,199.2756200967742,162.781288,0.523808,686.656615
604,30,41.1054909,41.7308525,0.495851,162.520386
990,30,457.63558543333335,449.11932,12.791021,964.270631
130,28,176.58489964285715,158.879295,36.752836,512.16457
331,27,107.69206459259259,47.883592,0.586295,535.542797
996,26,69.34809811538462,61.539018999999996,0.651049,355.609327
551,26,252.8567446153846,155.82018,2.311109,1346.752307
545,25,337.13748211999996,150.143827,2.152716,2124.771161
816,24,4.5757493333333334,2.3311580000000003,0.676673,25.381554
54,22,224.31773736363638,44.7489215,4.217012,2006.12206
450,22,36.55883313636363,22.8560505,0.765951,142.405079
408,22,371.0114971818182,113.479461,2.497435,1916.374885
6696,22,10.169328636363636,1.776894,0.725703,122.838798
406,21,208.56399061904762,120.388137,0.984219,887.568299
823,18,256.3530005,217.284829,1.084741,954.368961
927,17,630.0363539411765,597.976524,49.191205,1481.464148
511,17,2470.356061,1065.916182,6.759584,6860.979786
56,17,2.9289408823529413,1.028537,0.5744,32.321062
314,16,296.2217150625,147.360476,1.291099,747.388971
770,15,3.508888333333333,2.707355,0.693562,8.902432
764,15,1.5139090666666666,1.155223,0.640979,6.105689
973,15,138.40801726666666,5.590433,0.613992,1611.046498
5260,15,3.2261188,2.162846,0.898421,11.450477
50,14,38.86446214285714,0.9159045,0.362614,526.843459
7151,12,44.805065500000005,56.1633315,0.863964,78.359345
262,12,80.51311191666666,81.666939,1.27992,166.901138
600,12,253.1182285,20.0262995,1.488927,1660.427763
582,11,13.95781081818182,6.089322,0.928162,50.0285
6782,9,63.221157,66.223147,2.782487,164.13646
8427,9,296.2852492222222,124.40123,16.22234,661.927755
8296,9,1.0744164444444444,0.976195,0.758472,1.625988
8313,9,232.68506566666667,250.283797,79.978005,362.437983
758,8,43.762817625,28.6184875,4.213251,115.703587
546,8,30.0644585,12.8027065,0.725358,80.533823
547,7,367.8855651428571,83.415947,0.894789,2179.631654
836,7,123.0429012857143,72.550987,1.150964,409.572557
7454,7,50.80416614285714,51.599392,0.745732,111.351441
925,7,30.280058142857143,31.474919,2.680691,53.490532
6511,7,14.561256857142856,3.887575,0.745732,84.604788
66,6,20.7092465,21.6881855,3.653445,30.395836
929,6,17.1559785,7.364066,0.941941,76.390555
6918,5,6.103922600000001,2.115218,0.764127,17.106725
995,5,15.681680400000001,1.141941,0.89704,72.215016
974,5,392.6157322,78.156005,0.808444,1671.198836
481,5,187.5538242,95.256173,49.396691,567.794837
501,4,16.25659125,1.3172195,0.784527,61.607399
6791,4,3.4539165,3.456837,0.857722,6.04427
8851,4,454.71684174999996,436.5050585,368.902527,576.954723
915,4,699.71009725,652.3918515,498.022075,996.034611
744,4,59.0227905,72.3732625,1.886125,89.458512
337,3,3.3861179999999997,1.98394,1.130025,7.044389
926,3,7.042111666666667,4.307981,1.989914,14.82844
8944,2,68.682158,68.682158,54.591382,82.772934
7577,2,17.941983,17.941983,17.193247,18.690719
7578,2,41.1325325,41.1325325,19.251445,63.01362
8345,2,50.957775999999996,50.957775999999996,48.962132,52.95342
8423,2,68.1929795,68.1929795,52.388859,83.9971
769,2,1.302634,1.302634,0.746673,1.858595
5146,2,11.9921345,11.9921345,0.616014,23.368255
934,2,16.3406525,16.3406525,1.209843,31.471462
571,2,20.603030999999998,20.603030999999998,2.195609,39.010453
830,2,548.2934165,548.2934165,27.752663,1068.83417
16,1,2.41829,2.41829,2.41829,2.41829
8420,1,0.579876,0.579876,0.579876,0.579876
997,1,39.553529,39.553529,39.553529,39.553529
657,1,400.931214,400.931214,400.931214,400.931214
663,1,0.728063,0.728063,0.728063,0.728063
690,1,3.620872,3.620872,3.620872,3.620872
773,1,37.425612,37.425612,37.425612,37.425612
6707,1,138.637299,138.637299,138.637299,138.637299
936,1,8.424646,8.424646,8.424646,8.424646
8441,1,0.966898,0.966898,0.966898,0.966898
